shortest to longest half-life,isotopeName,Symbol,massNumber,atomicMassSpecific,percentAbundance,elementName,atomicNumber,neutrons,stable,halfLife-years,halfLife-power10years,halfLife-days,halfLife-hours,halfLife-minutes,halfLife-seconds,halfLife-power10seconds
81,oxygen-21,O,21,,,oxygen,8,,,,,,,,3.42,0
78,oxygen-22,O,22,,,oxygen,8,,,,,,,,2.25,0
63,oxygen-23,O,23,,,oxygen,8,,,,,,,,82,-3
62,oxygen-24,O,24,,,oxygen,8,,,,,,,,65,-3
99,fluorine-18,F,18,,,fluorine,9,,,,,,1.8295,,,
,fluorine-19,F,19,18.998,1.00000,fluorine,9,,stable,,,,,,,
,neon-20,Ne,20,,0.90480,neon,10,,stable,,,,,,,
,neon-21,Ne,21,,0.00270,neon,10,,stable,,,,,,,
,neon-22,Ne,22,,0.09250,neon,10,,stable,,,,,,,
20,sodium-18,Na,18,,,sodium,11,,,,,,,,1.34,-21
140,sodium-22,Na,22,,,sodium,11,,,2.602,0,,,,,
,sodium-23,Na,23,22.990,1.00000,sodium,11,,stable,,,,,,,
102,sodium-24,Na,24,,,sodium,11,,,,,,14.96,,,
,magnesium-24,Mg,,,0.78990,magnesium,12,,stable,,,,,,,
,magnesium-25,Mg,,,0.10000,magnesium,12,,stable,,,,,,,
,magnesium-26,Mg,,,0.11010,magnesium,12,,stable,,,,,,,
195,aluminium-26,Al,26,,,aluminium,13,,,717,3,,,,,
,aluminium-27,Al,27,26.982,1.00000,aluminium,13,,stable,,,,,,,
157,silicon-32,Si,,,,silicon,14,,,170,0,,,,,
,silicon-28,Si,28,27.977,0.92223,silicon,14,,stable,,,,,,,
,silicon-29,Si,29,28.976,0.04685,silicon,14,,stable,,,,,,,
,silicon-30,Si,30,29.974,0.03092,silicon,14,,stable,,,,,,,
,phosphorus-31,P,31,30.974,1.00000,phosphorus,15,,stable,,,,,,,
115,phosphorus-32,P,32,,,phosphorus,15,,,,,14.29,,,,
,sulfur-32,S,32,31.972,0.9499,sulfur,16,,stable,,,,,,,
,sulfur-33,S,33,32.971,0.0075,sulfur,16,,stable,,,,,,,
,sulfur-34,S,34,33.968,0.0425,sulfur,16,,stable,,,,,,,
124,sulfur-35,S,35,,,sulfur,16,,,,,87.32,,,,
,sulfur-36,S,36,35.967,0.0001,sulfur,16,,stable,,,,,,,
,chlorine-35,Cl,35,34.969,0.7576,chlorine,17,,stable,,,,,,,
192,chlorine-36,Cl,36,,,chlorine,17,,,301,3,,,,,
,chlorine-37,Cl,37,36.966,0.2424,chlorine,17,,stable,,,,,,,
,argon-36,Ar,36,35.968,0.003336,argon,18,,stable,,,,,,,
,argon-38,Ar,38,37.963,0.000629,argon,18,,stable,,,,,,,
,argon-40,Ar,40,39.962,0.996035,argon,18,,stable,,,,,,,
158,argon-39,Ar,39,,,argon,18,,,269,0,,,,,
,potassium-39,,39,38.964,0.932581,potassium,19,,stable,,,,,,,
,potassium-41,,41,40.962,0.067302,potassium,19,,stable,,,,,,,
218,potassium-40,K,40,39.964,0.000117,potassium,19,,stable,1.277,9,,,,,
,calicum-40,,40,39.963,0.96941,calcium,20,,stable,,,,,,,
,calcium-42,,42,41.959,0.00647,calcium,20,,stable,,,,,,,
,calcium-43,,43,42.959,0.00135,calcium,20,,stable,,,,,,,
,calcium-44,,44,43.955,0.02086,calcium,20,,stable,,,,,,,
,calcium-46,,46,45.954,0.00004,calcium,20,,stable,,,,,,,
183,calcium-41,Ca,,,,calcium,20,,,103,3,,,,,
129,calcium-45,Ca,,,,calcium,20,,,,,162.7,,,,
110,calcium-47,Ca,,,,calcium,20,,,,,4.536,,,,
243,calcium-48,Ca,48,47.953,0.00187,calcium,20,,stable,43,18,,,,,
