,Isotope,,,,,,,,,,,Half-life,,,,,,
shortest to longest half-life,Isotope Name,Symbol,Mass number (Z) ,Atomic Mass (specific),Percent Abundance,Element Name,Atomic Number (A),Neutrons (n),,,Stable,years,years power of 10,days,hours,minutes,seconds,seconds power of 10
74,carbon-16,C,16,,,carbon,6,,,,,,,,,,747,-3
72,carbon-17,C,17,,,carbon,6,,,,,,,,,,193,-3
65,carbon-18,C,18,,,carbon,6,,,,,,,,,,92,-3
61,carbon-19,C,19,,,carbon,6,,,,,,,,,,46.2,-3
57,carbon-20,C,20,,,carbon,6,,,,,,,,,,16,-3
26,carbon-21,C,21,,,carbon,6,,,,,,,,,,30,-9
49,carbon-22,C,22,,,carbon,6,,,,,,,,,,6.2,-3
15,carbon-8,C,8,,,carbon,6,,,,,,,,,,2,-21
68,carbon-9,C,9,,,carbon,6,,,,,,,,,,126.5,-3
183,calcium-41,Ca,,,,calcium,20,,,,,103,3,,,,,
129,calcium-45,Ca,,,,calcium,20,,,,,,,162.7,,,,
110,calcium-47,Ca,,,,calcium,20,,,,,,,4.536,,,,
243,calcium-48,Ca,48,  47.952 522 76(13),  0.001 87,calcium,20,,,,stable,43,18,,,,,
137,cadmium-109,Cd,109,,,cadmium,48,,,,,1.267,0,,,,,
234,cadmium-113,Cd,113,112.904 408 13,  0.1222,cadmium,48,,,,,7.7,15,,,,,
242,cadmium-116,Cd,116,115.904 763 15,  0.0749,cadmium,48,,,,,31 ± 4,18,,,,,
,,Cd,106,105.906 4599,  0.0125,cadmium,48,,,,,,,,,,,
,,Cd,108,107.904 1834,  0.0089,cadmium,48,,,,,,,,,,,
,,Cd,110,109.903 006 61,  0.1249,cadmium,48,,,,,,,,,,,
,,Cd,111,110.904 182 87,  0.1280,cadmium,48,,,,,,,,,,,
,,Cd,112,111.902 762 87,  0.2413,cadmium,48,,,,,,,,,,,
,,Cd,114,113.903 365 09,  0.2873,cadmium,48,,,,,,,,,,,
,cerium-136,Ce,136,135.907 129 21,0.00185,cerium,58,,,,stable,,,,,,,
,cerium-138,Ce,138,137.905 991,0.00251,cerium,58,,,,stable,,,,,,,
,cerium-140,Ce,140,139.905 4431,0.8845,cerium,58,,,,stable,,,,,,,
,cerium-142,Ce,142,141.909 2504,0.1111,cerium,58,,,,stable,,,,,,,
134,californium-248,Cf,,,,californium,98,,,,,,,333.5,,,,
159,californium-249,Cf,,,,californium,98,,,,,351,0,,,,,
146,californium-250,Cf,,,,californium,98,,,,,13.08,0,,,,,
163,californium-251,Cf,,,,californium,98,,,,,898,0,,,,,
117,californium-253,Cf,,,,californium,98,,,,,,,17.81,,,,
121,californium-254,Cf,,,,californium,98,,,,,,,60.5,,,,
,chlorine-35,Cl,35,  34.968 852 682(37),  0.7576,chlorine,17,,,,stable,,,,,,,
192,chlorine-36,Cl,36,,,chlorine,17,,,,,301,3,,,,,
,chlorine-37,Cl,37,  36.965 902 602(55),  0.2424,chlorine,17,,,,stable,,,,,,,
150,curium-243,Cm,243,,,curium,96,,,,,29.1,0,,,,,
174,curium-245,Cm,245,,,curium,96,,,,,8500,0,,,,,
169,curium-246,Cm,246,,,curium,96,,,,,4730,0,,,,,
211,curium-247,Cm,247,,,curium,96,,,,,15.6,6,,,,,
193,curium-248,Cm,248,,,curium,96,,,,,340,3,,,,,
175,curium-250,Cm,250,,,curium,96,,,,,9000,0,,,,,
37,copernicium-277,Cn,277,,,copernicium,112,,,,,,,,,,240,-6
122,cobalt-56,Co,56,,,cobalt,27,,,,,,,77.27,,,,
132,cobalt-57,Co,57,,,cobalt,27,,,,,,,271.79,,,,
,cobalt-59,Co,59,  58.933 194 29(56),  1,cobalt,27,,,,stable,,,,,,,
143,cobalt-60,Co,60,,,cobalt,27,,,,,5.2714,0,,,,,
118,chromium-51,Cr,51,,,chromium,24,,,,,,,27.7025,,,,
,chromium-52,Cr,52,  51.940 506 23(63),  0.837 89,chromium,24,,,,stable,,,,,,,
,chromium-50,Cr,50,  49.946 041 83(94),  0.043 45,chromium,24,,,,stable,,,,,,,
,chromium-54,Cr,54,  53.938 879 16(61),  0.023 65,chromium,24,,,,stable,,,,,,,
,chromium-53,Cr,53,  52.940 648 15(62),  0.095 01,chromium,24,,,,stable,,,,,,,
139,caesium-134,Cs,,,,caesium,55,,,,,2.0652,0,,,,,
202,caesium-135,Cs,,,,caesium,55,,,,,2.3,6,,,,,
151,caesium-137,Cs,,,,caesium,55,,,,,30.17,0,,,,,
,caesium-133,Cs,133,132.905 451 9610,  1,caesium,55,,,,,,,,,,,
,copper-63,Cu,63,,,copper,29,,,,stable,,,,,,,
,copper-65,Cu,65,,,copper,29,,,,stable,,,,,,,
89,dubnium-261,Db,,,,dubnium,105,,,,,,,,,,27,0
91,dubnium-262,Db,,,,dubnium,105,,,,,,,,,,34,0
30,darmstadtium-267,Ds,,,,darmstadtium,110,,,,,,,,,,3,-6
36,darmstadtium-269,Ds,,,,darmstadtium,110,,,,,,,,,,230,-6
33,darmstadtium-270,Ds,,,,darmstadtium,110,,,,,,,,,,160,-6
35,darmstadtium-273,Ds,,,,darmstadtium,110,,,,,,,,,,170,-6
204,dysprosium-154,Dy,,,,dysprosium,66,,,,,3,6,,,,,
,,Dy,156,155.924 2847,  0.000 56,dysprosium,66,,,,,,,,,,,
,,Dy,158,157.924 4159,  0.000 95,dysprosium,66,,,,,,,,,,,
,,Dy,160,159.925 2046,  0.023 29,dysprosium,66,,,,,,,,,,,
,,Dy,161,160.926 9405,  0.188 89,dysprosium,66,,,,,,,,,,,
,,Dy,162,161.926 8056,  0.254 75,dysprosium,66,,,,,,,,,,,
,,Dy,163,162.928 7383,  0.248 96,dysprosium,66,,,,,,,,,,,
,,Dy,164,163.929 1819,  0.282 60,dysprosium,66,,,,,,,,,,,
104,erbium-160,Er,,,,erbium,68,,,,,,,1.191,,,,
101,erbium-165,Er,,,,erbium,68,,,,,,,,10.36,,,
,,Er,162,161.928 7884,  0.001 39,erbium,68,,,,,,,,,,,
,,Er,164,163.929 2088,  0.016 01,erbium,68,,,,,,,,,,,
,,Er,166,165.930 2995,  0.335 03,erbium,68,,,,,,,,,,,
,,Er,167,166.932 0546,  0.228 69,erbium,68,,,,,,,,,,,
,,Er,168,167.932 3767,  0.269 78,erbium,68,,,,,,,,,,,
,,Er,170,169.935 4702,  0.149 10,erbium,68,,,,,,,,,,,
,einsteinium-252,Es,252,252.08298,,einsteinium,99,,,,,,,,,,,
,einsteinium-253,Es,253,253.0848247,,einsteinium,99,,,,,,,,,,,
,einsteinium-254,Es,254,254.088022,,einsteinium,99,,,,,,,,,,,
,einsteinium-255,Es,255,255.090273,,einsteinium,99,,,,,,,,,,,
,einsteinium-257,Es,257,257.09598,,einsteinium,99,,,,,,,,,,,
237,europium-151,Eu,,,,europium,63,,,,,5,18,,,,,
,,Eu,151,150.919 8578,  0.4781,europium,63,,,,,,,,,,,
,,Eu,153,152.921 2380,  0.5219,europium,63,,,,,,,,,,,
99,fluorine-18,F,18,,,fluorine,9,,,,,,,,1.8295,,,
,fluorine-19,F,19, 18.998 403 162 73(92),  1,fluorine,9,,,,stable,,,,,,,
